country_of_origin,region,harvest_year,variety,processing_method,altitude_mean_meters,total_cup_points
ethiopia,guji-hambela,2014,other,washed-wet,2075.0,89.92
guatemala,,,bourbon,,1700.0,89.75
ethiopia,guji-hambela,2014,other,washed-wet,2075.0,88.83
peru,,2012,other,washed-wet,,88.75
ethiopia,"snnp/kaffa zone,gimbowereda",2014,other,natural-dry,1822.5,88.25
united states,antioquia,2014,other,washed-wet,1872.0,87.92
united states,antioquia,2014,other,washed-wet,1943.0,87.92
united states,antioquia,2014,other,washed-wet,2080.0,87.58
china,yunnan,2015,catimor,washed-wet,1450.0,87.25
united states,antioquia,2014,other,washed-wet,2019.0,87.25
costa rica,san ramon,2014,caturra,washed-wet,1300.0,87.17
mexico,xalapa,2012,other,washed-wet,1320.0,87.17
united states,antioquia,2014,other,washed-wet,2112.0,87.08
brazil,south of minas,2011,bourbon,natural-dry,1250.0,86.92
uganda,kapchorwa eastern,2013,sl14,washed-wet,1950.0,86.83
honduras,comayagua,2016,caturra,,1400.0,86.67
brazil,vale da grama,2011,bourbon,natural-dry,1300.0,86.42
costa rica,west and central valley,2015,caturra,washed-wet,1300.0,86.33
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,86.25
united states,antioquia,2014,other,washed-wet,1941.0,86.17
thailand,chiang rai,2012,caturra,washed-wet,1300.0,86.17
taiwan,natou county,2015,bourbon,semi-washed-semi-pulped,1000.0,86.08
kenya,nyeri,2014,sl28,natural-dry,1754.0,86.08
brazil,south of minas,2011,bourbon,semi-washed-semi-pulped,1250.0,86.08
colombia,tolima,2013,caturra,washed-wet,1200.0,86.0
kenya,kiambu,2013,sl28,washed-wet,1860.0,86.0
uganda,"sipi, mt elgon",2012,other,washed-wet,1650.0,86.0
guatemala,nuevo oriente,2016,bourbon,washed-wet,,85.92
uganda,eastern,2013,sl14,natural-dry,1650.0,85.92
colombia,huila,2013,caturra,washed-wet,1800.0,85.92
panama,boquete,2017,gesha,washed-wet,1600.0,85.83
guatemala,acatenango,2012,bourbon,washed-wet,1524.0,85.83
guatemala,nuevo oriente,2012,catuai,washed-wet,1417.32,85.83
ethiopia,addis ababa,2017,caturra,natural-dry,,85.75
el salvador,apaneca,2013,bourbon,washed-wet,1500.0,85.58
el salvador,"ataco, apaneca - ilamatepec mountain range",2012,bourbon,semi-washed-semi-pulped,1350.0,85.58
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,85.58
panama,boquete,2014,caturra,natural-dry,1680.0,85.5
kenya,kirinyaga,2014,sl28,natural-dry,1900.0,85.5
ethiopia,oromia,2015,other,natural-dry,1900.0,85.5
uganda,bulambuli eastern region,2013,sl14,washed-wet,1600.0,85.5
guatemala,huehuetenango,2013,bourbon,washed-wet,1731.264,85.5
uganda,kapchorwa,2013,sl14,washed-wet,1950.0,85.42
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,85.42
brazil,south of minas,2011,bourbon,semi-washed-semi-pulped,1250.0,85.42
china,yunnan,2015,catimor,natural-dry,1700.0,85.33
costa rica,west valley,2014,caturra,washed-wet,1300.0,85.33
costa rica,san ramon,2014,caturra,washed-wet,1300.0,85.33
ethiopia,yirgacheffe,2009,typica,,,85.33
guatemala,oriente,2016,bourbon,,,85.25
colombia,santander,2015,caturra,washed-wet,1550.0,85.25
colombia,santander,2014,caturra,natural-dry,1550.0,85.25
guatemala,huehuetenango,2012,caturra,washed-wet,1400.0,85.17
