Country_of_Origin,Region,Harvest_Year,Variety,Processing_Method,altitude_mean_meters,Total_Cup_Points
Ethiopia,guji-hambela,2014,Other,Washed / Wet,2075.0,89.92
Guatemala,,,Bourbon,,1700.0,89.75
Ethiopia,guji-hambela,2014,Other,Washed / Wet,2075.0,88.83
Peru,,2012,Other,Washed / Wet,,88.75
Ethiopia,"snnp/kaffa zone,gimbowereda",2014,Other,Natural / Dry,1822.5,88.25
United States,antioquia,2014,Other,Washed / Wet,1872.0,87.92
United States,antioquia,2014,Other,Washed / Wet,1943.0,87.92
United States,antioquia,2014,Other,Washed / Wet,2080.0,87.58
China,yunnan,2015,Catimor,Washed / Wet,1450.0,87.25
United States,antioquia,2014,Other,Washed / Wet,2019.0,87.25
Costa Rica,san ramon,2014,Caturra,Washed / Wet,1300.0,87.17
Mexico,xalapa,2012,Other,Washed / Wet,1320.0,87.17
United States,antioquia,2014,Other,Washed / Wet,2112.0,87.08
Brazil,south of minas,2011,Bourbon,Natural / Dry,1250.0,86.92
Uganda,kapchorwa eastern,2013,SL14,Washed / Wet,1950.0,86.83
Honduras,comayagua,2016,Caturra,,1400.0,86.67
Brazil,vale da grama,2011,Bourbon,Natural / Dry,1300.0,86.42
Costa Rica,west and central valley,2015,Caturra,Washed / Wet,1300.0,86.33
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,86.25
United States,antioquia,2014,Other,Washed / Wet,1941.0,86.17
Thailand,chiang rai,2012,Caturra,Washed / Wet,1300.0,86.17
Taiwan,natou county,2015,Bourbon,Semi-washed / Semi-pulped,1000.0,86.08
Kenya,nyeri,2014,SL28,Natural / Dry,1754.0,86.08
Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,1250.0,86.08
Colombia,tolima,2013,Caturra,Washed / Wet,1200.0,86.0
Kenya,kiambu,2013,SL28,Washed / Wet,1860.0,86.0
Uganda,"sipi, mt elgon",2012,Other,Washed / Wet,1650.0,86.0
Guatemala,nuevo oriente,2016,Bourbon,Washed / Wet,,85.92
Uganda,eastern,2013,SL14,Natural / Dry,1650.0,85.92
Colombia,huila,2013,Caturra,Washed / Wet,1800.0,85.92
Panama,boquete,2017,Gesha,Washed / Wet,1600.0,85.83
Guatemala,acatenango,2012,Bourbon,Washed / Wet,1524.0,85.83
Guatemala,nuevo oriente,2012,Catuai,Washed / Wet,1417.32,85.83
Ethiopia,addis ababa,2017,Caturra,Natural / Dry,,85.75
El Salvador,apaneca,2013,Bourbon,Washed / Wet,1500.0,85.58
El Salvador,"ataco, apaneca - ilamatepec mountain range",2012,Bourbon,Semi-washed / Semi-pulped,1350.0,85.58
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,85.58
Panama,boquete,2014,Caturra,Natural / Dry,1680.0,85.5
Kenya,kirinyaga,2014,SL28,Natural / Dry,1900.0,85.5
Ethiopia,oromia,2015,Other,Natural / Dry,1900.0,85.5
Uganda,bulambuli eastern region,2013,SL14,Washed / Wet,1600.0,85.5
Guatemala,huehuetenango,2013,Bourbon,Washed / Wet,1731.264,85.5
Uganda,kapchorwa,2013,SL14,Washed / Wet,1950.0,85.42
United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,,85.42
Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,1250.0,85.42
China,yunnan,2015,Catimor,Natural / Dry,1700.0,85.33
Costa Rica,west valley,2014,Caturra,Washed / Wet,1300.0,85.33
